CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND,,,,
525546190,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525546200,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549600,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549700,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549800,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549810,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549820,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549830,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549840,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549850,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549860,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549870,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549880,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549890,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549900,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549910,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549920,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549930,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
